Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R1	HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74203167.0	0.0	101.0	50.0	41.12293551352221	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R1_val_1	HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	70152623.0	0.0	20-101	50.0	41.303458107294524	96.52002106891997	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R2	HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74203167.0	0.0	101.0	51.0	42.12488785006005	101.0	pass	fail	fail	pass	fail	pass	fail	pass	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R2_val_2	HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	70152623.0	0.0	20-86	50.0	66.45618641082332	70.77058877755718	pass	fail	fail	pass	fail	pass	pass	warn	warn	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R1	HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60201088.0	0.0	101.0	50.0	42.512052916420515	101.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R1_val_1	HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57544452.0	0.0	20-101	50.0	42.90557702973386	96.89631970081147	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R2	HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60201088.0	0.0	101.0	51.0	43.649253249008424	101.0	pass	fail	fail	pass	fail	pass	fail	pass	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R2_val_2	HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57544452.0	0.0	20-86	50.0	68.72797855738865	70.8505574438349	pass	fail	fail	pass	fail	pass	pass	warn	warn	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R1	HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55208970.0	0.0	101.0	51.0	38.406148567013645	101.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R1_val_1	HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53502094.0	0.0	20-101	51.0	38.390986582179906	97.80098584552597	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R2	HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55208970.0	0.0	101.0	51.0	39.02214573210798	101.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	pass	fail
